,type of loss,loss,conv,fa,cl,asp,ad,acc lp
0,similarity distr.,APP,SAGE,0.1,0.01,2,5,0.2201934484908202
1,similarity distr.,APP,SAGE,0.1,0.01,2,20,0.4069187145557655
2,similarity distr.,APP,SAGE,0.1,0.01,2,40,0.2364155176899063
3,similarity distr.,APP,SAGE,0.1,0.01,3,2,0.3633489782422864
4,similarity distr.,APP,SAGE,0.1,0.01,3,5,0.1494946023215485
5,similarity distr.,APP,SAGE,0.1,0.01,3,20,0.3517887035774072
6,similarity distr.,APP,SAGE,0.1,0.01,4,2,0.3526758233302554
7,similarity distr.,APP,SAGE,0.1,0.01,4,5,0.3600707011194344
8,similarity distr.,APP,SAGE,0.1,0.01,7,2,0.4306141423184862
9,similarity distr.,APP,SAGE,0.1,0.2,2,5,0.4980098287598059
10,similarity distr.,APP,SAGE,0.1,0.2,2,20,0.4979421761436511
11,similarity distr.,APP,SAGE,0.1,0.2,2,40,0.472802033898305
12,similarity distr.,APP,SAGE,0.1,0.2,3,2,0.3734985364905732
13,similarity distr.,APP,SAGE,0.1,0.2,3,5,0.4988510101010101
14,similarity distr.,APP,SAGE,0.1,0.2,3,20,0.592743398274366
15,similarity distr.,APP,SAGE,0.1,0.2,4,2,0.5526627038561195
16,similarity distr.,APP,SAGE,0.1,0.2,4,5,0.4946453957996769
17,similarity distr.,APP,SAGE,0.1,0.5,2,5,0.550514983696496
18,similarity distr.,APP,SAGE,0.1,0.5,2,20,0.3333779019949508
19,similarity distr.,APP,SAGE,0.1,0.5,2,40,0.416003887537452
20,similarity distr.,APP,SAGE,0.1,0.5,3,5,0.4921789187355152
21,similarity distr.,APP,SAGE,0.1,0.5,3,20,0.3614554399645751
22,similarity distr.,APP,SAGE,0.1,0.5,4,5,0.4624115564205719
23,similarity distr.,APP,SAGE,0.5,0.01,2,5,0.2817202268431001
24,similarity distr.,APP,SAGE,0.5,0.01,2,20,0.4052837857453912
25,similarity distr.,APP,SAGE,0.5,0.01,2,40,0.3538192076384152
26,similarity distr.,APP,SAGE,0.5,0.01,3,2,0.3331933619994625
27,similarity distr.,APP,SAGE,0.5,0.01,3,5,0.3168148229155275
28,similarity distr.,APP,SAGE,0.5,0.01,3,20,0.3750743162901307
29,similarity distr.,APP,SAGE,0.5,0.01,4,2,0.4743099315883874
30,similarity distr.,APP,SAGE,0.5,0.01,4,5,0.3132880413501449
31,similarity distr.,APP,SAGE,0.5,0.01,7,2,0.3047661584581144
32,similarity distr.,APP,SAGE,0.5,0.2,2,5,0.4291710958170716
