,loss,conv,fa,cl,asp,ad,dataset,acc lp,best_values
0,APP,SAGE,0.1,0.01,2,5,0.50.10.0125,0.2201934484908202,"{'hidden_layer': 128, 'out_layer': 128, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.0054444357390793, 'num_negative_samples': 21, 'alpha': 0.9}"
1,APP,SAGE,0.1,0.01,2,20,0.50.10.01220,0.4069187145557655,"{'hidden_layer': 64, 'out_layer': 128, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.0070703301918529, 'num_negative_samples': 6, 'alpha': 0.9}"
2,APP,SAGE,0.1,0.01,2,40,0.50.10.01240,0.2364155176899063,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.0071931035549586, 'num_negative_samples': 1, 'alpha': 0.9}"
3,APP,SAGE,0.1,0.01,3,2,0.50.10.0132,0.3633489782422864,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.0084277691071483, 'num_negative_samples': 1, 'alpha': 0.9}"
4,APP,SAGE,0.1,0.01,3,5,0.50.10.0135,0.1494946023215485,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.4, 'size of network, number of convs': 3, 'lr': 0.0096843240051975, 'num_negative_samples': 21, 'alpha': 0.9}"
5,APP,SAGE,0.1,0.01,3,20,0.50.10.01320,0.3517887035774072,"{'hidden_layer': 32, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.0091709088250776, 'num_negative_samples': 1, 'alpha': 0.9}"
6,APP,SAGE,0.1,0.01,4,2,0.50.10.0142,0.3526758233302554,"{'hidden_layer': 256, 'out_layer': 128, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.0093735912054105, 'num_negative_samples': 16, 'alpha': 0.9}"
7,APP,SAGE,0.1,0.01,4,5,0.50.10.0145,0.3600707011194344,"{'hidden_layer': 32, 'out_layer': 128, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0077246115381147, 'num_negative_samples': 1, 'alpha': 0.8}"
8,APP,SAGE,0.1,0.01,7,2,0.50.10.0172,0.4306141423184862,"{'hidden_layer': 128, 'out_layer': 128, 'dropout': 0.2, 'size of network, number of convs': 3, 'lr': 0.0094927002104154, 'num_negative_samples': 11, 'alpha': 0.9}"
9,APP,SAGE,0.1,0.2,2,5,0.50.10.225,0.4980098287598059,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.1, 'size of network, number of convs': 3, 'lr': 0.0079322489751167, 'num_negative_samples': 16, 'alpha': 0.8}"
10,APP,SAGE,0.1,0.2,2,20,0.50.10.2220,0.4979421761436511,"{'hidden_layer': 64, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0056141568168896, 'num_negative_samples': 6, 'alpha': 0.6}"
11,APP,SAGE,0.1,0.2,2,40,0.50.10.2240,0.472802033898305,"{'hidden_layer': 256, 'out_layer': 32, 'dropout': 0.0, 'size of network, number of convs': 3, 'lr': 0.0091445897131139, 'num_negative_samples': 1, 'alpha': 0.8}"
